번호,지자체 유형,광역,기초,자치법규명,제개정일자,지방의회_기수,최종분야,,
177,기초지자체_시,강원특별자치도,삼척시,삼척시 포상 조례,2025-05-23,지방의회 9기,행정일반,,
178,기초지자체_시,강원특별자치도,삼척시,삼척시 홍보대사 위촉 및 운영 조례,2025-05-23,지방의회 9기,행정일반,,
179,기초지자체_시,강원특별자치도,삼척시,삼척시 관광진흥 조례,2025-05-23,지방의회 9기,문화관광,,
180,기초지자체_시,강원특별자치도,삼척시,삼척시 가로수 및 도시숲 조성ㆍ관리 조례,2025-05-23,지방의회 9기,환경,,
181,기초지자체_시,강원특별자치도,삼척시,삼척시 수리계 운영 관리 조례,2025-05-23,지방의회 9기,농림수산,,
182,기초지자체_시,강원특별자치도,삼척시,삼척시 지역자율방재단 운영 등에 관한 조례,2025-05-23,지방의회 9기,안전,,
183,기초지자체_시,강원특별자치도,삼척시,삼척시 농작물 병해충 예찰ㆍ방제단 구성 및 운영 조례,2025-05-23,지방의회 9기,농림수산,,
184,기초지자체_시,강원특별자치도,삼척시,삼척시 선택예방접종 지원에 관한 조례,2025-05-23,지방의회 9기,보건의료,,
185,기초지자체_시,강원특별자치도,삼척시,삼척시 도계유리나라 및 도계나무나라 운영ㆍ관리 조례,2025-05-23,지방의회 9기,환경,,
186,기초지자체_시,강원특별자치도,삼척시,삼척시 체육시설 관리 운영 조례,2025-05-23,지방의회 9기,문화관광,,
187,기초지자체_시,강원특별자치도,삼척시,삼척시 적극행정 운영 조례,2025-05-23,지방의회 9기,행정일반,,
188,기초지자체_시,강원특별자치도,삼척시,삼척시 지방공무원 복무 조례,2025-05-23,지방의회 9기,행정일반,,
189,기초지자체_시,강원특별자치도,삼척시,삼척시 기부심사위원회 운영 및 기부자 예우에 관한 조례,2025-05-23,지방의회 9기,복지,,
190,기초지자체_시,강원특별자치도,삼척시,삼척시 어르신 임플란트 지원에 관한 조례,2025-05-23,지방의회 9기,복지,,
191,기초지자체_시,강원특별자치도,삼척시,삼척시 오십천 수상레저시설 관리 및 운영 조례,2025-05-23,지방의회 9기,문화관광,,
192,기초지자체_시,강원특별자치도,삼척시,삼척시 활기 치유의 숲 운영 및 관리 조례,2025-05-23,지방의회 9기,농림수산,,
193,기초지자체_시,강원특별자치도,삼척시,삼척시 주차장 설치 및 관리 조례,2025-05-23,지방의회 9기,건설도시,,
194,기초지자체_시,강원특별자치도,삼척시,삼척시 세계 유기농수산 연구교육관 운영 조례,2025-05-23,지방의회 9기,농림수산,,
195,기초지자체_시,강원특별자치도,삼척시,삼척시 보건의료기관 진료비 및 수수료 징수 조례,2025-05-23,지방의회 9기,보건의료,,
196,기초지자체_시,강원특별자치도,삼척시,삼척시 폐교재산 활용시설 관리운영 조례,2025-05-23,지방의회 9기,경제산업,,
197,기초지자체_시,강원특별자치도,삼척시,삼척시 유리ㆍ목공예 창작활동 지원 조례,2025-05-23,지방의회 9기,경제산업,,
198,기초지자체_시,강원특별자치도,삼척시,삼척시 영화관 운영에 관한 조례,2025-05-23,지방의회 9기,문화관광,,
199,기초지자체_시,강원특별자치도,삼척시,삼척시 청렴도 향상 및 부패방지 지원 조례,2025-05-23,지방의회 9기,행정일반,,
200,기초지자체_군,강원특별자치도,홍천군,홍천군 인플루엔자 예방접종 지원에 관한 조례,2025-05-23,지방의회 9기,보건의료,,
201,기초지자체_군,강원특별자치도,홍천군,홍천군 자율방재단 구성 및 운영 등에 관한 조례,2025-05-23,지방의회 9기,안전,,
202,기초지자체_군,강원특별자치도,홍천군,홍천군 주민조례발안에 관한 조례,2025-05-23,지방의회 9기,행정일반,,
